review_id,stars,date,title,text,source,product,version,vote_count
14120785729,2,2026-05-29,Horrible update,"I used to have the ability to check the bus schedules from any given stop on bus routes. Now this GPS exact update  is horrible. If I’m taking the train to meet a bus, I have to wait till I’m exactly on top of the stop to check what bus is good.  If I’m at a location  and looking at the schedule to go back, the gps puts me at a stop 3 blocks away instead of a stop across the street. I see a new update , im scared to download uncertain if it would be better or worse than what I have now. Though im not certain it can get much worse.",app_store,MTA,4.11.0,0
14111638430,3,2026-05-27,Can’t Plan a Trip,"Prior to the change, I could look up any bus at a glance. Now it only shows what’s near unless I use the Plan Trip option. It’s confusing.",app_store,MTA,4.10.0,0
14110170393,1,2026-05-26,Bad update,The new update is impossible to use.  Prettier is not useful.,app_store,MTA,4.10.0,0
14108244150,1,2026-05-26,Features,The update is horrible. I shouldn’t have to turn on my location to view my stop. Put the favorites tab back so people are able to view there train. This reminds me of the transit app and preferida este app.,app_store,MTA,4.10.0,0
14101940992,2,2026-05-24,Trash Update,This app is necessary to have some idea of the train times. This app use to be easy to use before the recent update. It’s harder to use and more confusing. Use before getting on train,app_store,MTA,4.10.0,0
14100712004,3,2026-05-24,Revised app a step backwards,Revised app ruined the Plan Trip feature.  Does not have an option to refresh a trip to current time.  Requires manually changing the time or closing and reopening the app and starting all over.  Very disappointing.,app_store,MTA,4.10.0,0
14097239386,1,2026-05-23,This update made the app awful.,You can't directly choose a station to check arrivals. Who is designing this?  They need to be fired,app_store,MTA,4.10.0,0
14096847280,1,2026-05-23,What was the goal with this update?,To be fancy and completely USELESS?,app_store,MTA,4.10.0,0
14096651419,1,2026-05-23,The app is worse,I can’t even use it now. I keep trying to find out when my train is arriving only to be met with the delays screen that doesn’t even show me the train line anymore so I can’t check the stops and how near the train is to each stop. It’s the same thing with the buses. I’m forced to use Apple Maps at this point.,app_store,MTA,4.10.0,0
14094679454,1,2026-05-22,Pls bring back the old version,"I used to be on time to everything. I used to have the most beautiful transfers, exit one train step across the platform and whisked onto the next. I attributed this all to the beauty of the MTA app. My foolish friends using Google maps couldn’t hold a candle to me! Since this update I’ve been suffering. I feel like I’m using a physical map again. It’s frustrating and inconvenient and I’m late everywhere.💔",app_store,MTA,4.10.0,0
