average_speed,borough,day_type,month,period,route_id,total_mileage,total_operating_time,trip_type
7.45,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B17,39802514.4,5340916.0,LCL/LTD
6.28,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B17,19889776.8,3166931.0,LCL/LTD
8.42,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B17,17339734.8,2059211.0,LCL/LTD
7.96,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B17,6916687.2,869047.0,LCL/LTD
9.12,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B2,12453296.4,1365484.0,LCL/LTD
7.8,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B2,5864652.0,752240.0,LCL/LTD
10.59,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B2,6951427.2,656616.0,LCL/LTD
10.09,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B2,2667603.6,264257.0,LCL/LTD
7.15,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B20,41005861.2,5732645.0,LCL/LTD
6.42,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B20,18506052,2880586.0,LCL/LTD
8.2,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B20,17093782.8,2084344.0,LCL/LTD
7.96,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B20,6979780.8,877398.0,LCL/LTD
9.7,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B24,22538091.6,2323231.0,LCL/LTD
8.08,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B24,10099386,1250354.0,LCL/LTD
11.13,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B24,11828736,1062595.0,LCL/LTD
10.7,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B24,4443364.8,415237.0,LCL/LTD
6.5,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B25,47106223.2,7241573.0,LCL/LTD
5.75,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B25,18472460.4,3213266.0,LCL/LTD
7.37,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B25,21172903.2,2873658.0,LCL/LTD
7.0,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B25,7558225.2,1079578.0,LCL/LTD
6.9,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B26,50912521.2,7376224.0,LCL/LTD
6.2,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B26,22843238.4,3681604.0,LCL/LTD
7.47,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B26,23798397.6,3187404.0,LCL/LTD
7.39,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B26,10408078.8,1408893.0,LCL/LTD
7.51,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B3,47753766,6361058.0,LCL/LTD
6.56,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B3,21329514,3252394.0,LCL/LTD
7.76,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B3,24853975.2,3201417.0,LCL/LTD
7.36,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B3,10036170,1363978.0,LCL/LTD
9.72,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B31,14144868,1455262.0,LCL/LTD
8.2,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B31,6373357.2,777034.0,LCL/LTD
10.97,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B31,7201432.8,656663.0,LCL/LTD
10.34,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B31,2279523.6,220484.0,LCL/LTD
9.79,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B32,7530876.0,768939.0,LCL/LTD
9.24,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B32,4151224.8,449170.0,LCL/LTD
10.61,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B32,4090363.2,385384.0,LCL/LTD
10.6,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B32,2307420.0,217717.0,LCL/LTD
6.46,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B35,105957345.6,16398448,LCL/LTD
5.84,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B35,52082712,8916606.0,LCL/LTD
6.61,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B35,53470094.4,8087267.0,LCL/LTD
6.4,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B35,21953782.8,3430970.0,LCL/LTD
7.81,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B36,44965065.6,5756079.0,LCL/LTD
7.01,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B36,25740784.8,3670703.0,LCL/LTD
8.83,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B36,18392954.4,2082231.0,LCL/LTD
8.21,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B36,7161645.6,872747.0,LCL/LTD
8.65,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B37,28887231.6,3339305.0,LCL/LTD
7.41,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B37,11080411.2,1495704.0,LCL/LTD
10.05,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B37,12037021.2,1197572.0,LCL/LTD
9.54,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B37,4247388.0,445268.0,LCL/LTD
6.52,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B38,86395233.6,13257070,LCL/LTD
5.9,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B38,43681568.4,7404670.0,LCL/LTD
7.22,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B38,34217766,4737272.0,LCL/LTD
7.02,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B38,14398279.2,2051307.0,LCL/LTD
8.14,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B4,37312887.6,4581156.0,LCL/LTD
7.26,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B4,17539610.4,2415675.0,LCL/LTD
9.41,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B4,19167037.2,2036856.0,LCL/LTD
9.04,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B4,7233177.6,800175.0,LCL/LTD
7.22,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B41,126385182,17502543,LCL/LTD
6.71,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B41,61235593.2,9123910.0,LCL/LTD
7.91,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B41,66350250,8390168.0,LCL/LTD
7.7,Brooklyn,2,2015-01-01T00:00:00.000,Peak,B41,26603388,3455655.0,LCL/LTD
6.63,Brooklyn,1,2015-01-01T00:00:00.000,Off-Peak,B43,44055633.6,6644487.0,LCL/LTD
5.57,Brooklyn,1,2015-01-01T00:00:00.000,Peak,B43,20724717.6,3722703.0,LCL/LTD
7.28,Brooklyn,2,2015-01-01T00:00:00.000,Off-Peak,B43,20889936,2867690.0,LCL/LTD
